Symbol,SECURITY_ID
TTKPRESTIG,3546
TTML,8954
TVSELECT,11265
TVSHLTD,29008
TVSMOTOR,8479
TVSSCS,18151
TVSSRICHAK,14245
TVTODAY,11275
UBL,16713
UCOBANK,11223
UDAICEMENT,7276
UDS,19113
UFLEX,1053
UGARSUGAR,19578
UGROCAP,5313
UJJIVANSFB,15228
ULTRACEMCO,11532
UNICHEMLAB,3579
UNIECOM,24809
UNIENTER,11293
UNIMECH,28960
UNIONBANK,10753
UNIPARTS,13057
UNITDSPR,10447
UNITECH,8893
UNIVCABLES,3607
UNOMINDA,14154
UPL,11287
URJA,20207
USHAMART,8840
UTIAMC,527
UTKARSHBNK,17358
UTTAMSUGAR,13376
V2RETAIL,14770
VADILALIND,24196
VAIBHAVGBL,11364
VAKRANGEE,13342
VALIANTORG,330
